size,pitch,major_dia,minor_dia,stress_area_mm2
M3 X 0.5,0.5,3,2.39,5.03
M3.5 X 0.6,0.6,3.5,2.76,6.78
M4 X 0.7,0.7,4,3.14,8.78
M5 X 0.8,0.8,5,4.02,14.2
M6 X 1,1,6,4.77,20.1
M7 X 1,1,7,5.77,28.9
M8 X 1.25,1.25,8,6.47,36.6
M8 X 1,1,8,6.77,39.2
M10 X 1.5,1.5,10,8.16,58
M10 X 1.25,1.25,10,8.47,61.2
M12 X 1.75,1.75,12,9.85,84.3
M12 X 1.25,1.25,12,10.5,92.1
M14 X 2,2,14,11.6,115
M14 X 1.5,1.5,14,12.2,125
M16 X 2,2,16,13.6,157
M16 X 1.5,1.5,16,14.2,167
M18 X 2.5,2.5,18,14.9,192
M18 X 1.5,1.5,18,16.2,216
M20 X 2.5,2.5,20,16.9,245
M20 X 1.5,1.5,20,18.2,272
M22 X 2.5,2.5,22,18.9,303
M22 X 1.5,1.5,22,20.2,333
M24 X 3,3,24,20.3,353
M24 X 2,2,24,21.6,384
M27 X 3,3,27,23.3,459
M27 X 2,2,27,24.6,496
M30 X 3.5,3.5,30,25.7,561
M30 X 2,2,30,27.6,621
M33 X 3.5,3.5,33,28.7,694
M33 X 2,2,33,30.6,761
M36 X 4,4,36,31.1,817
M36 X 3,3,36,32.3,865
M39 X 4,4,39,34.1,976
M39 X 3,3,39,35.3,1030
