sae,diameter_min,diameter_max,proof_load,yield_strength,tensile_strength,elongation_min,area_red_min,rockwell_min,rockwell_max,unit
1,0.25,1.5,33,36,60,18,35,B70,B100,inch
2,0.25,0.75,55,57,74,18,35,B80,B100,inch
2,0.75001,1.5,33,36,60,18,35,B70,B100,inch
5,0.25,1,85,92,120,14,35,C25,C34,inch
5,1.00001,1.5,74,81,105,14,35,C19,C30,inch
5.2,0.25,1,85,92,120,14,35,C26,C36,inch
7,0.25,1.5,105,115,133,12,35,C28,C34,inch
8,0.25,1.5,120,130,150,12,35,C33,C39,inch
4.6,5,36,225,240,400,22,35,B67,B87,mm
4.8,1.6,16,310,,420,,,B71,B87,mm
5.8,5,24,380,,520,,,B82,B95,mm
8.8,17,36,600,660,830,12,35,C23,C34,mm
9.8,1.6,16,650,,900,,,C27,C36,mm
10.9,6,36,830,940,1040,9,35,C33,C39,mm
12.9,1.6,36,970,1100,1220,8,35,C38,C44,mm
